Year,Month,Day,Hour,Minute,PM10
2020,1,18,18,0,8
2020,1,18,18,5,8
2020,1,18,18,10,8
2020,1,18,18,15,8
2020,1,18,18,20,8
2020,1,18,18,25,8
2020,1,18,18,30,8
2020,1,18,18,35,8
2020,1,18,18,40,8
2020,1,18,18,45,6.3
2020,1,18,18,50,6
2020,1,18,18,55,6
2020,1,18,19,0,6
2020,1,18,19,5,6
2020,1,18,19,10,6
2020,1,18,19,15,6
2020,1,18,19,20,6
2020,1,18,19,25,6
2020,1,18,19,30,6
2020,1,18,19,35,6
2020,1,18,19,40,6
2020,1,18,19,45,9.4
2020,1,18,19,50,10
2020,1,18,19,55,10
2020,1,18,20,0,10
2020,1,18,20,5,10
2020,1,18,20,10,10
2020,1,18,20,15,10
2020,1,18,20,20,10
2020,1,18,20,25,10
2020,1,18,20,30,10
2020,1,18,20,35,10
2020,1,18,20,40,10
2020,1,18,20,45,14.3
2020,1,18,20,50,15
2020,1,18,20,55,15
2020,1,18,21,0,15
2020,1,18,21,5,15
2020,1,18,21,10,15
2020,1,18,21,15,15
2020,1,18,21,20,15
2020,1,18,21,25,15
2020,1,18,21,30,15
2020,1,18,21,35,15
2020,1,18,21,40,15
2020,1,18,21,45,17.5
2020,1,18,21,50,18
2020,1,18,21,55,18
2020,1,18,22,0,18
2020,1,18,22,5,18
2020,1,18,22,10,18
2020,1,18,22,15,18
2020,1,18,22,20,18
2020,1,18,22,25,18
2020,1,18,22,30,18
2020,1,18,22,35,18
2020,1,18,22,40,18
2020,1,18,22,45,11.2
2020,1,18,22,50,10
2020,1,18,22,55,10
2020,1,18,23,0,10
2020,1,18,23,5,10
2020,1,18,23,10,10
2020,1,18,23,15,10
2020,1,18,23,20,10
2020,1,18,23,25,10
2020,1,18,23,30,10
2020,1,18,23,35,10
2020,1,18,23,40,10
2020,1,18,23,45,15.1
2020,1,18,23,50,16
2020,1,18,23,55,16
,,43849,,,16
2020,1,19,0,5,16
2020,1,19,0,10,16
2020,1,19,0,15,16
2020,1,19,0,20,16
2020,1,19,0,25,16
2020,1,19,0,30,16
2020,1,19,0,35,16
2020,1,19,0,40,16
2020,1,19,0,45,9.2
2020,1,19,0,50,8
2020,1,19,0,55,8
2020,1,19,1,0,8
2020,1,19,1,5,8
2020,1,19,1,10,8
2020,1,19,1,15,8
2020,1,19,1,20,8
2020,1,19,1,25,8
2020,1,19,1,30,8
2020,1,19,1,35,8
2020,1,19,1,40,8
2020,1,19,1,45,10.6
2020,1,19,1,50,11
2020,1,19,1,55,11
2020,1,19,2,0,11
2020,1,19,2,5,11
2020,1,19,2,10,11
2020,1,19,2,15,11
2020,1,19,2,20,11
2020,1,19,2,25,11
2020,1,19,2,30,11
2020,1,19,2,35,11
2020,1,19,2,40,11
2020,1,19,2,45,9.3
2020,1,19,2,50,9
2020,1,19,2,55,9
2020,1,19,3,0,9
2020,1,19,3,5,9
2020,1,19,3,10,9
2020,1,19,3,15,9
2020,1,19,3,20,9
2020,1,19,3,25,9
2020,1,19,3,30,9
2020,1,19,3,35,9
2020,1,19,3,40,9
2020,1,19,3,45,9
2020,1,19,3,50,9
2020,1,19,3,55,9
2020,1,19,4,0,9
2020,1,19,4,5,9
2020,1,19,4,10,9
2020,1,19,4,15,9
2020,1,19,4,20,9
2020,1,19,4,25,9
2020,1,19,4,30,9
2020,1,19,4,35,9
2020,1,19,4,40,9
2020,1,19,4,45,7.3
2020,1,19,4,50,7
2020,1,19,4,55,7
2020,1,19,5,0,7
2020,1,19,5,5,7
